Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.789,62.851,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.7068,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.6676,38.2162,36.7648,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,27.095,25.678,24.261,22.844,21.427,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,146.2136,147.1822,148.1508,149.1194,150.088,151.1966,152.3052,153.4138,154.5224,155.631,156.7438,157.8566,158.9694,160.0822,161.195,161.7418,162.2886,162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,140.6256,134.8182,129.0108,123.2034,117.396,111.1414,104.8868,98.6322,92.3776,86.123,81.7908,77.4586,73.1264,68.7942,64.462,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,225,226.5,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,226.8,225.6,224.4,223.2,222,221.7,221.4,221.1,220.8,220.5,219,217.5,216,214.5,213,210.9,208.8,206.7,204.6,202.5,200.5664,198.6328,196.6992,194.7656,192.832,190.5114,188.1908,185.8702,183.5496,181.229,178.1842,175.1394,172.0946,169.0498,166.005,163.1218,160.2386,157.3554,154.4722,151.589,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.4408,56.1654,57.89,55.368,52.846,50.324,47.802,45.28,42.1176,38.9552,35.7928,32.6304,29.468,28.6554,27.8428,27.0302,26.2176,25.405,23.6676,21.9302,20.1928,18.4554,16.718,16.6428,16.5676,16.4924,16.4172,16.342,16.8202,17.2984,17.7766,18.2548,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.2324,19.1348,19.0372,18.9396,18.842,18.765,18.688,18.611,18.534,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.7174,20.7048,20.6922,20.6796,20.667,
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,134.2236121,134.838634,135.5709048,135.4446404,135.2749038,134.9471741,134.2335972,133.3622343,130.8725,128.4121577,126.0750758,123.8389786,121.7649633,119.62902,117.4726549,115.2358361,112.916087,110.5238068,106.6612112,102.8552292,99.13657919,95.51899124,91.96121547,88.18633038,84.39775548,80.58369652,76.71828978,72.84313437,71.56606151,70.32371307,69.46716001,68.21198548,67.31459466,65.25605939,63.17755171,60.90790232,58.76573557,56.59018596,55.74006833,54.93288839,54.16981707,53.3133996,52.48571853,52.03459703,51.62959284,51.26729732,50.87727494,50.54338737,50.31699441,50.10461044,49.90011793,49.72375747,49.53907403,49.11124447,48.64753939,48.11455247,47.44006889,46.72996064,
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,176.9534,176.4412,175.929,175.4168,174.9046,174.3924,173.8802,173.368,171.729,170.09,168.451,166.812,165.173,161.5878,158.0026,154.4174,150.8322,147.247,141.4758,135.7046,129.9334,124.1622,118.391,109.7458,101.1006,92.4554,83.8102,75.165,68.5864,62.0078,55.4292,48.8506,42.272,39.3358,36.3996,33.4634,30.5272,27.591,27.1906,26.7902,26.3898,25.9894,25.589,26.4506,27.3122,28.1738,29.0354,29.897,29.4418,28.9866,28.5314,28.0762,27.621,27.7726,27.9242,28.0758,28.2274,28.379,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,61.378,61.238,61.098,60.9582,60.8184,60.6786,60.5388,60.399,61.9796,63.5602,65.1408,66.7214,68.302,71.4412,74.5804,77.7196,80.8588,83.998,82.0386,80.0792,78.1198,76.1604,74.201,74.0408,73.8806,73.7204,73.5602,73.4,73.3604,73.3208,73.2812,73.2416,73.202,72.5218,71.8416,71.1614,70.4812,69.801,68.8332,67.8654,66.8976,65.9298,64.962,64.7164,64.4708,64.2252,63.9796,63.734,63.7824,63.8308,63.8792,63.9276,63.976,63.7388,63.5016,63.2644,63.0272,62.79,
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.218,44.94,45.662,44.9044,44.1468,43.3892,42.6316,41.874,41.6992,41.5244,41.3496,41.1748,41,40.9598,40.9196,40.8794,40.8392,40.799,42.2192,43.6394,45.0596,46.4798,47.9,51.448,54.996,58.544,62.092,65.64,68.5254,71.4108,74.2962,77.1816,80.067,74.032,67.997,61.962,55.927,49.892,46.3922,42.8924,39.3926,35.8928,32.393,31.4714,30.5498,29.6282,28.7066,27.785,27.671,27.557,27.443,27.329,27.215,26.405,25.595,24.785,23.975,23.165,
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
